	Language	Source	Date	Text	CurrentYear	Year	Year_Numeric
25	Latvian	diena.lv	2011/11/21	Vakar redzētais Spartak atgādināja klases volejbola komandu, kurā, lai bumbu dabūtu pāri tīklam, pieaicināti pāris garo no vecākajām klasēm. Ļudučins, Ružička, Baranka – spēlētāji, kuru meistarība un vēlēšanās uzvarēt bija līmenī. Pārējie nodrošina kvorumu. Pat pirmo divu sezonu Rīgas Dinamo mīlulis Hosa ir nevis komandas līderis, bet viens no komandas spēlētājiem. Redzēsim, cik pamatotas ir runas par galvenā trenera Pačkaļina nomaiņu pret Hosu vecāko, lai gan, ja komanda plāno piedalīties vai vismaz nopietni pacīnīties par spēlēšanu play off turnīrā, rokāde Pačkaļins – Hosa izskatās visai reāla. (It īpaši pēc 5 pēc kārtas zaudētām spēlēm, tostarp pret Vitjaz ar 2:3, 1:8 pret SKA, 1:4 pret tiešajiem konkurentiem Rīgas Dinamo). Komandai nepieciešams restarts.	2022	2011	2011
0	Latvian	diena.lv	2011/12/13	Latvijas skatītāji Cirque du Soleil mākslu iepazīs šovā Saltimbanco, kas decembrī tiks demonstrēts Arēnā Rīga. Šīs programmas pirmizrāde notika 1992. gada 23. aprīlī Monreālā, 2007. gadā iestudējums tika atsvaidzināts. Ik gadu Saltimbanco viesojas 40 pilsētās. Iestudējums, kurā piedalās 50 mākslinieku, stāsta par transformācijām, kuras piedzīvo cilvēks, pārceļoties no provinces lielpilsētā. Ja gribat uzzināt par akrobātu un vingrotāju trikiem, kas tiek izpildīti šajā šovā, ieejiet Saltimbanco sadaļā Cirque du Soleil mājaslapā. Nemēģiniet tos atkārtot mājās!	2022	2011	2011
8	Latvian	diena.lv	2011/12/15	Projekta galvenais mērķis ir novērst ostas aktivitāšu izraisīto vides degradāciju, jo patlaban lielākā daļa Rīgas brīvostas aktivitāšu notiek Andrejostā un Eksportostā, kas atrodas Rīgas vēsturiskā centra tiešā tuvumā Daugavas ziemeļu krastā.	2022	2011	2011
35	Latvian	diena.lv	2011/12/19	"Viņa minēja, ka visuzskatāmākais piemērs ir revīzija Tieslietu ministrijas Ieslodzījuma vietu pārvaldē. ""Rīgas Centrālcietumā 2010.gadā vispār nebija nodrošināta pareiza grāmatvedības uzskaite, jo tur ilgstoši nebija galvenā grāmatveža. Ja mēs zinām, ka šis grāmatvedis atbild par septiņu miljonu latu gada apgrozījumu, grāmatveža darba telpas atrodas centrālcietumā, tad patiesi ir grūti atrast speciālistu par 450 latu algu,"" teica valsts kontroliere."	2022	2011	2011
24	Latvian	diena.lv	2011/12/21	Kaut kur nerealizēto (jo naudas devēju komisiju neatbalstīto) projektu gaņģos izzudis Aivara Freimaņa spēlfilmas projekts, kura darbība risinās Rojā, kas ir tuvu Kolkai. Kā bijis - bijis. Gaušanos par Latvijas filmu mazumiņu, to finansējuma pieticību un ilgo ceļu kāpās, kas jāizbrien katram režisoram, kas grib tikt pie filmas, jau būsiet atklausījušies. Arī Jura Poškus Kolka Cool tapusi ilgi - no 2008. gada - īpaši, ja ņem vērā, ka šis projekts nav nekāda tur Kleopatra vai vismaz Rīgas sargi, bet askētiska melnbalta filma, kas filmēta reālā vidē.	2022	2011	2011
29	Latvian	diena.lv	2011/12/23	Rīgas 199. pirmsskolas izglītības iestādes audzinātāja Dace Briede izstrādājusi pētījumu par vēlamo norūdīšanos pirmsskolas izglītības iestādēs. «Bērniem ļoti svarīgas ir ūdens procedūras visplašākajā šā vārda nozīmē. Jāsāk ar to, ka bērns rociņas mazgā vēsā, nevis siltā ūdenī. Mazuļiem ļoti vajadzīgas pastaigas svaigā gaisā, tāpēc mūsu pirmsskolas izglītības iestādē cenšamies bērnus vest laukā divas reizes dienā,» stāsta D. Briede.	2022	2011	2011
40	Latvian	diena.lv	2011/12/23	Savukārt 13.43 Rīgā, Daugavgrīvas ielā, kravas automašīna Volvo ar piekabi notrieca 1999.gadā dzimušu puisi, kurš ar dažādām traumām nogādāts slimnīcā reanimācijas nodaļā.	2022	2011	2011
32	Latvian	diena.lv	2011/12/29	Ņemot vērā, ka Rīga 2014.gadā būs Eiropas kultūras galvaspilsēta, Saeima Kultūras ministrijai piešķīra 282 tūkstošu latu lielu finansējumu šī nozīmīgā pasākuma sagatavošanas darbiem nākamajā gadā.	2022	2011	2011
26	Latvian	diena.lv	2011/12/30	Aizvadītajā gadā apmeklētākais pasākums Latvijā bijusi Muzeju nakts, kuru visā Latvijā apmeklējuši aptuveni 270 000 cilvēku, kam sekojot Rīgas svētku noslēguma koncerts 11.novembra krastmalā - 120 000 apmeklētāju - un mūsdienu kultūras forums Baltā nakts ar aptuveni 50 000 apmeklētāju.	2022	2011	2011
14	Latvian	diena.lv	2011/12/30	Izstāde pieskaras intriģējošam jautājumam - kas māksliniekus motivē radīt mākslas darbus, kādēļ viņi to dara? Tomēr Rīgas mākslas telpas, arī izstādes kuratore Inga Šteimane jautājumu formulē apgalvojuma formā, beigās nez kādēļ......	2022	2011	2011
21	Latvian	diena.lv	2012/01/06	Nizhny Novgorod ar piecām uzvarām desmit spēlēs pakāpusies uz 5.vietu A grupā, bet VEF Rīga ar piecām uzvarām un četriem zaudējumiem saglabā 3. pozīciju.	2022	2012	2012
5	Latvian	diena.lv	2012/01/09	"ZRP par reformām gan vēl būs jāpārliecina Vienotība. Sondore-Kukule gan nolēmusi negaidīt līdz brīdim, kad ostas reformēs, un, lai labāk izprastu ostu darbu no iekšienes, viņa varētu kļūt par Rīgas brīvostas valdes locekli. Iespēja nokļūt ostā Sondorei-Kukulei pavērusies, jo savas vietas zaudē Zaļo un zemnieku savienības virzītie cilvēki. Visticamāk, Sondores-Kukules deleģēšana ostā tiks uzticēta vides ministram Edmundam Sprūdžam (ZRP). ""Es pašlaik vēl negribu uz to jautājumu atbildēt ar jā vai nē. Mēs esam skatījuši vairākas kandidatūras,"" sacījis Sprūdžs."	2022	2012	2012
30	Latvian	diena.lv	2012/01/09	"Kā pastāstīja Bite, saistībā ar gaidāmo ģimenes pieaugumu viņa šajā pavasarī varētu doties bērna kopšanas atvaļinājumā un uz laiku nolikt deputāta mandātu. Tādējādi pagaidu jeb ""mīksto"" mandātu iegūtu Ķirsis, kurš Saeimas vēlēšanās Rīgas vēlēšanu apgabalā ZRP sarakstā palicis pirmais ""aiz strīpas""."	2022	2012	2012
6	Latvian	diena.lv	2012/01/09	Rīgas apgabaltiesa pērn 15.martā pēc prokurora lūguma uzlikusi arestu Andreja Ēķa īpašumtiesībām telekompānijās LNT un TV5. Arests uzlikts tā dēvētās digitālās televīzijas krimināllietas ietvaros, kurā A. Ēķis ir viens no apsūdzētajiem.	2022	2012	2012
22	Latvian	diena.lv	2012/01/11	Par notikušo Valsts policijas Rīgas reģiona pārvaldes Satiksmes noziegumu izmeklēšanas birojā sākts kriminālprocess. Policisti lūdz atsaukties šī negadījuma aculieciniekus, zvanot Satiksmes noziegumu izmeklēšanas birojam pa tālruni 67219837, 26653635 vai 110.	2022	2012	2012
55	Latvian	diena.lv	2012/01/12	Fiļipovs uzsvēra, ka staciju teritoriju saimniekiem - pašvaldībām, dzelzceļam un konkrēto zemju īpašniekiem - jādomā, kā palielināt teritorijas, kur interesentiem novietot automašīnas, lai pēc tam ar vilcienu dotos uz Rīgu.	2022	2012	2012
3	Latvian	diena.lv	2012/01/13	Klifs Grants ir Rīgas Zooloģiskajā dārzā mītošo Amūras tīģeru Vasjas un Katrīnas mazulis. Aizvadītajā vasarā Katrīna piedzīvoja savas pirmās dzemdības, pasaulē laižot trīs mazuļus, taču trešajā dienā pēc mazuļu piedzimšanas aiz Zooloģiskā dārza žoga sākās remontdarbi un tehnikas skaļie trokšņi tik ļoti satrauca jau tā raksturā nervozo Katrīnu, ka viņa sāka drudžaini pārnēsāt savus bērnus, meklējot tiem drošāku paslēptuvi. Viens mazulis neizdzīvoja, bet divus darbiniekiem izdevās satrauktajai tīģeru mātei atņemt, taču Klifa Granta māsa no gūtajiem ievainojumiem drīz nomira. Tad sākusies Zooloģiskā dārza darbinieku cīņa par Klifa Granta izdzīvošanu, jo mazais tīģerēns, krītot no mītnes plaukta, kur Katrīna bija mēģinājusi paslēpt savus bērnus, bija guvis sarežģītus ķepu lūzumus.	2022	2012	2012
